Drug Induced Liver Injury Rank (DILIrank) Dataset Ver 2.0 | FDA,,,,,,
LTKBID,CompoundName,SeverityClass,LabelSection,vDILI-Concern,Comment,
LT02004,Cromoglicate,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00361,Cupric chloride,0,No match,vNo-DILI-concern,Unchanged,
LT02002,Cyanocobalamin,0,No match,vNo-DILI-concern,Unchanged,
LT01249,Cyclobenzaprine hydrochloride,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01250,Cyclofenil,8,Withdrawn,vMost-DILI-concern,Unchanged,
LT00013,Cyclophosphamide,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01253,Cycloserine,3,Warnings & precautions,Ambiguous-DILI-concern,Unchanged,
LT00380,Cyclosporine,7,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01255,Cyproheptadine hydrochloride,7,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01256,Cysteamine bitartrate,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00209,Cytarabine,3,Box warning,vMost-DILI-concern,Unchanged,
LT02345,Dabigatran etexilate mesylate,0,No match,vLess-DILI-concern,New,
LT02904,Dabrafenib mesylate,3,Adverse reactions,Ambiguous-DILI-concern,New,
LT00288,Dacarbazine,6,Box warning,vMost-DILI-concern,Unchanged,
LT03652,Dacomitinib,4,Adverse reactions,vLess-DILI-concern,New,
LT00079,Dactinomycin,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT03562,Dalbavancin hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT03653,Dalfampridine,0,No match,vNo-DILI-concern,New,
LT00961,Dalteparin sodium,3,Adverse reactions,vLess-DILI-concern,Unchanged,
LT00539,Danazol,8,Box warning,vMost-DILI-concern,Unchanged,
LT00080,Dantrolene sodium,8,Box warning,vMost-DILI-concern,Unchanged,
LT02891,Dapagliflozin,0,No match,vNo-DILI-concern,New,
LT00289,Dapsone,3,Warnings & precautions,vLess-DILI-concern,Unchanged,
LT01200,Daptomycin,5,Adverse reactions,vLess-DILI-concern,Unchanged,
LT01374,Darbepoetin alfa,0,No match,vLess-DILI-concern,Unchanged,
LT01188,Darifenacin hydrobromide,0,No match,vNo-DILI-concern,Unchanged,
LT03654,Darolutamide,4,Adverse reactions,Ambiguous-DILI-concern,New,
LT01243,Darunavir,8,Warnings & precautions,vMost-DILI-concern,Unchanged,
LT01248,Dasatinib,4,Adverse reactions,vLess-DILI-concern,Unchanged,
LT03655,Dasiglucagon hydrochloride,0,No match,vNo-DILI-concern,New,
LT00540,Daunorubicin hydrochloride,0,No match,vNo-DILI-concern,Unchanged,
LT00385,Decitabine,4,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
LT00563,Deferasirox,7,Box warning,vMost-DILI-concern,Unchanged,
LT00541,Deferiprone,3,Warnings & precautions,Ambiguous-DILI-concern,New,
LT00386,Deferoxamine mesylate,0,No match,vLess-DILI-concern,Unchanged,
LT01774,Defibrotide sodium,0,No match,vNo-DILI-concern,New,
LT02726,Deflazacort,0,No match,vNo-DILI-concern,New,
LT00655,Degarelix acetate,3,Adverse reactions,Ambiguous-DILI-concern,Unchanged,
